,GDP,CPI,MSCI
1976-06-30,8456339.362761,9.995416,1000.4586102269279
1976-09-30,8543086.06163,10.18713,909.9716995856537
1976-12-31,8668301.177412,10.51464,771.4006375872117
1977-03-31,8706083.8111,10.83691,848.2122671499534
1977-06-30,8712558.315054,11.20428,857.6186957127097
1977-09-30,8733965.675321,11.47325,822.2604754537729
1977-12-31,8830654.250033,11.7963,886.2100828225799
1978-03-31,8900707.889075,12.08846,887.0443381539088
1978-06-30,8985237.008354,12.42966,869.2112254076138
1978-09-30,9033820.193998,12.73072,934.1184159262007
1978-12-31,9138612.993298,13.02991,1020.574969435706
1979-03-31,9164957.35788,13.37251,948.9617132460548
1979-06-30,9348573.952115,13.7755,1002.7222242386847
1979-09-30,9361421.480355,14.37257,944.5770658970524
1979-12-31,9455017.892891,14.90029,888.9088735856818
1980-03-31,9513743.047503,15.57558,922.148645507904
1980-06-30,9441511.785359,16.27571,833.696348730716
1980-09-30,9427966.711437,16.73602,894.2388931179576
1980-12-31,9448890.976956,17.22883,911.3793565784792
1981-03-31,9460100.488208,17.81906,793.6445581304512
1981-06-30,9481308.822512,18.42689,758.6196042848251
1981-09-30,9525256.718831,18.92733,637.4908663821045
1981-12-31,9555276.181524,19.49319,592.5146166430432
1982-03-31,9592304.753799,20.08184,626.0880477087757
1982-06-30,9590733.816596,20.6006,596.1962272943506
1982-09-30,9581079.766251,21.06462,540.5746697543084
1982-12-31,9607662.409974,21.50882,545.543642096591
1983-03-31,9674544.766933,22.05238,563.2952089525031
1983-06-30,9731288.92427,22.54713,644.7383769020714
1983-09-30,9795130.60373,22.91871,625.1224436279355
1983-12-31,9908512.194332,23.49809,601.7510359352611
1984-03-31,9984210.444598,24.06247,629.4033821133075
1984-06-30,9944106.096997,24.61794,635.1465638473406
1984-09-30,10082086.959849,25.05905,534.3777996372568
1984-12-31,10151205.174852,25.55387,556.1584214054467
1985-03-31,10182156.806709,26.10347,567.0510472362487
1985-06-30,10287738.942676,26.78578,602.5958549648358
1985-09-30,10376150.408493,27.0037,690.460936834582
1985-12-31,10450646.876388,27.46486,799.5671559949695
1986-03-31,10482382.368494,27.97886,893.6032418761879
1986-06-30,10591659.713697,28.21668,1164.7366026052675
1986-09-30,10658171.864237,28.39387,1084.4946462035643
1986-12-31,10735570.963496,28.77782,1113.670180715565
1987-03-31,10713846.622129,29.1818,1232.0350355358476
1987-06-30,10896359.895923,29.62271,1363.7509869961257
1987-09-30,11011680.196713,29.87405,1422.5724332656605
1987-12-31,11193186.107479,30.30751,1146.448520515212
1988-03-31,11252768.541624,30.95017,1081.5126378950422
1988-06-30,11342302.019066,31.55331,1167.7380281181277
1988-09-30,11473552.895332,31.90218,1116.882921480601
1988-12-31,11580869.890455,32.51597,1197.1040691697033
1989-03-31,11697845.721107,33.19441,1228.7309821141573
1989-06-30,11765540.286256,33.94145,1222.1045358993206
1989-09-30,11864104.601357,34.36828,1324.5352982459408
1989-12-31,11978137.460638,35.11082,1209.7125615408584
1990-03-31,12124613.027451,35.76744,1376.2796554631811
1990-06-30,12193413.682737,36.59455,1287.8966949996654
1990-09-30,12207296.408625,36.97208,1477.7367137580577
1990-12-31,12340731.814173,38.11747,1225.6847057267967
1991-03-31,12397054.74815,38.66971,1233.4201627061593
1991-06-30,12417277.888904,39.64251,1199.49518837228
1991-09-30,12433542.659772,40.34865,1180.2625366647956
1991-12-31,12517847.549459,41.3241,1175.101212125612
1992-03-31,12643272.372181,42.20367,1202.2888056891734
1992-06-30,12582358.899535,43.11553,1194.7667116697858
1992-09-30,12600619.674044,43.40791,1178.656148153643
1992-12-31,12572305.852737,44.27961,1045.808669046543
1993-03-31,12539303.662332,45.14871,1043.4628143306863
1993-06-30,12593569.288973,46.08637,1104.3178275919756
1993-09-30,12666824.007775,46.6835,1083.1878500969292
1993-12-31,12715553.731338,47.47135,1196.8271388953547
1994-03-31,12813976.764887,48.23766,1295.5852336120784
1994-06-30,12840293.081214,49.86082,1217.2082208034285
1994-09-30,12966328.807316,50.62366,1188.8709745601168
1994-12-31,13101622.323965,51.66341,1197.8884088371249
1995-03-31,13168634.350018,52.94288,1115.3529993079333
1995-06-30,13250880.827021,54.1426,1197.3381403922235
1995-09-30,13331632.844709,54.69025,1277.3574814523613
1995-12-31,13389818.93842,55.79833,1227.1693435986347
1996-03-31,13441886.045221,56.9,1251.7047451669596
1996-06-30,13521513.556291,58.15813,1264.0880991187303
