"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-04","Apr-1976","IDX","Index","0","units","2010_100","2010=100",9.995416,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-05","May-1976","IDX","Index","0","units","2010_100","2010=100",10.09804,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-06","Jun-1976","IDX","Index","0","units","2010_100","2010=100",10.14188,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-07","Jul-1976","IDX","Index","0","units","2010_100","2010=100",10.18713,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-08","Aug-1976","IDX","Index","0","units","2010_100","2010=100",10.26792,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-09","Sep-1976","IDX","Index","0","units","2010_100","2010=100",10.38078,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-10","Oct-1976","IDX","Index","0","units","2010_100","2010=100",10.51464,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-11","Nov-1976","IDX","Index","0","units","2010_100","2010=100",10.62263,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1976-12","Dec-1976","IDX","Index","0","units","2010_100","2010=100",10.69954,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-01","Jan-1977","IDX","Index","0","units","2010_100","2010=100",10.83691,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-02","Feb-1977","IDX","Index","0","units","2010_100","2010=100",10.94194,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-03","Mar-1977","IDX","Index","0","units","2010_100","2010=100",11.05867,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-04","Apr-1977","IDX","Index","0","units","2010_100","2010=100",11.20428,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-05","May-1977","IDX","Index","0","units","2010_100","2010=100",11.29238,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-06","Jun-1977","IDX","Index","0","units","2010_100","2010=100",11.39179,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-07","Jul-1977","IDX","Index","0","units","2010_100","2010=100",11.47325,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-08","Aug-1977","IDX","Index","0","units","2010_100","2010=100",11.55696,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-09","Sep-1977","IDX","Index","0","units","2010_100","2010=100",11.67385,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-10","Oct-1977","IDX","Index","0","units","2010_100","2010=100",11.7963,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-11","Nov-1977","IDX","Index","0","units","2010_100","2010=100",11.89507,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1977-12","Dec-1977","IDX","Index","0","units","2010_100","2010=100",11.97487,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1978-01","Jan-1978","IDX","Index","0","units","2010_100","2010=100",12.08846,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1978-02","Feb-1978","IDX","Index","0","units","2010_100","2010=100",12.18956,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1978-03","Mar-1978","IDX","Index","0","units","2010_100","2010=100",12.28802,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1978-04","Apr-1978","IDX","Index","0","units","2010_100","2010=100",12.42966,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1978-05","May-1978","IDX","Index","0","units","2010_100","2010=100",12.53426,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1978-06","Jun-1978","IDX","Index","0","units","2010_100","2010=100",12.63198,,
