date;GDP;Cons;Inv;Lab;Hours;Infl;Wage;FFR;CB_Bonds;CB_Loans;CBL;CB_Bonds_10Y;BAASpread;GZSpread;ACMTP10;R10obs
1-apr-73;0.825017772;0.506560656;1.615788418;1.931038102;-0.0004368;1.52445075;-0.144360872;1.954166667;0;0;0;0;0.321666667;0.257875;0.162360113;1.735
1-jul-73;-0.784797331;0.437107805;-3.283636323;2.120647541;3.64073E-05;1.929859922;-0.212673324;2.64;0;0;0;0;0.315;0.220658333;0.286017787;1.725
01-Oct-1973;0.434374766;-0.097856696;0.987796761;2.482912286;-0.002925911;1.970951092;0.033097397;2.499166667;0;0;0;0;0.420833333;0.314466667;0.23281897;1.725
1-jan-74;-1.376895975;0.205308781;-5.880728897;2.065431361;-0.007219123;1.871943655;0.38220356;2.330833333;0;0;0;0;0.3725;0.293283333;0.229195584;1.8525
1-apr-74;-0.268552307;0.326596482;0.388665193;1.42842042;-0.002900461;2.333564678;0.253442389;2.8125;0;0;0;0;0.38;0.343941667;0.269338591;1.91
1-jul-74;-1.454952254;-0.509469155;-3.552902417;1.113820705;-0.002881154;2.889399508;0.034388601;3.0225;0;0;0;0;0.461666667;0.543791667;0.378077011;1.985
01-Oct-1974;-0.887993514;-1.087388362;-3.122001236;-0.77578085;-0.006745842;2.899579806;-0.177099496;2.336666667;0;0;0;0;0.725;0.591625;0.323653803;1.85
1-jan-75;-1.713368089;-0.186785868;-10.99982339;-3.530836905;-0.008283208;2.246193271;0.749194124;1.575833333;0;0;0;0;0.776666667;0.420666667;0.481104011;2.0025
1-apr-75;0.204887953;0.729365287;-0.948420451;-4.066885818;-0.00126816;1.475551128;0.637683613;1.355;0;0;0;0;0.645;0.363958333;0.459445452;1.99
1-jul-75;1.194088185;0.394527868;5.825223734;-3.170064869;0.001878182;1.750371617;-0.006254746;1.54;0;0;0;0;0.571666667;0.346025;0.480939074;2.12
01-Oct-1975;0.835637291;0.29971918;2.032859536;-2.977064705;0.005240219;1.658161312;-0.041732046;1.353333333;0;0;0;0;0.629166667;0.309466667;0.561677506;1.94
1-jan-76;1.72460567;0.990711637;6.997067617;-1.832557943;0.003344968;1.053702552;0.846809575;1.206666667;0;0;0;0;0.625833333;0.248608333;0.541866716;1.915
1-apr-76;0.257798422;0.306935826;2.763214057;-1.649288426;-0.006972767;1.001086692;0.863978596;1.299166667;0;0;0;0;0.530833333;0.249941667;0.532097508;1.965
1-jul-76;0.082127774;0.842786628;0.273010036;-1.561153744;-0.001837615;1.285659257;0.791651318;1.320833333;0;0;0;0;0.4725;0.220441667;0.594618762;1.8875
01-Oct-1976;0.270941624;0.568637322;0.722140631;-2.021502801;-0.002151296;1.773840738;0.336520136;1.218333333;0;0;0;0;0.505833333;0.2325;0.539785041;1.7025
1-jan-77;0.715251361;0.59232171;3.839273592;-1.788112855;-0.00133632;1.59934383;0.275446903;1.165;0;0;0;0;0.438333333;0.230066667;0.595882278;1.855
1-apr-77;1.467325678;0.269732411;4.320073056;-0.352952164;0.001740628;1.399473382;0.609958257;1.289166667;0;0;0;0;0.406666667;0.203275;0.567797747;1.8
1-jul-77;1.327391032;0.752222044;3.249919069;-0.371452048;-0.002183325;1.210537944;0.716690966;1.455;0;0;0;0;0.368333333;0.225358333;0.44842608;1.8525
01-Oct-1977;-0.455200865;0.220740055;-0.178992343;0.586396016;-0.001499088;2.136298223;-0.42227913;1.628333333;0;0;0;0;0.336666667;0.219133333;0.4942504;1.945
1-jan-78;-0.130053435;0.898146972;-0.310992732;0.175635643;-0.007320212;1.444287851;1.174986088;1.689166667;0;0;0;0;0.296666667;0.181033333;0.49546598;2.0375
