date,gz_spread,ebp,est_prob
JAN1973,1.1017,0.0060,0.2096566608
FEB1973,1.0396,-0.0125,0.2031170902
MAR1973,0.9917,-0.1108,0.170561031
APR1973,0.9502,-0.1648,0.1541577087
MAY1973,1.0056,-0.0545,0.1887806035
JUN1973,1.1387,0.0516,0.2262381991
JUL1973,0.9329,-0.3421,0.1078669778
AUG1973,0.9452,-0.1862,0.1479542815
SEP1973,0.7698,-0.3300,0.1106649111
OCT1973,1.2266,0.1428,0.2615791949
NOV1973,1.3080,0.0954,0.2428497405
DEC1973,1.2390,0.0411,0.2223688195
JAN1974,1.1133,0.0000,0.2075245626
FEB1974,1.2446,0.1992,0.2847474692
MAR1974,1.1615,-0.0722,0.1829064384
APR1974,1.1706,0.0922,0.2416424198
MAY1974,1.2141,0.1046,0.2464412501
JUN1974,1.7426,0.6837,0.5119850636
JUL1974,2.4310,1.1878,0.7431820999
AUG1974,1.9165,0.8299,0.5834920796
SEP1974,2.1780,0.9101,0.6216897287
OCT1974,2.3855,1.0121,0.6686114204
NOV1974,2.1976,1.0313,0.6771681206
DEC1974,2.5164,1.1779,0.7392500917
JAN1975,1.6583,0.4227,0.3849419786
FEB1975,1.5693,0.4417,0.3939448906
MAR1975,1.8204,0.6114,0.4763565895
APR1975,1.4617,0.2203,0.2936405324
MAY1975,1.5199,0.3515,0.3517542293
JUN1975,1.3859,0.2411,0.302573941
JUL1975,1.4157,0.3721,0.3612717897
AUG1975,1.3911,0.2889,0.3234924685
SEP1975,1.3455,0.2859,0.3221869976
OCT1975,1.2763,0.0832,0.2381785512
NOV1975,1.2556,0.1658,0.2709209295
DEC1975,1.1817,-0.0600,0.1869530848
JAN1976,0.9571,-0.1593,0.1557897027
FEB1976,1.0429,-0.0639,0.1856575537
MAR1976,0.9833,-0.1106,0.170610422
APR1976,1.0233,-0.0572,0.1878907981
MAY1976,0.9947,-0.1219,0.1670916006
JUN1976,0.9813,-0.0494,0.1904774968
JUL1976,0.9464,-0.0867,0.1782204835
AUG1976,0.8750,-0.1695,0.1527909933
SEP1976,0.8239,-0.2061,0.1423633948
OCT1976,0.8947,-0.1415,0.1610923023
NOV1976,0.8184,-0.3629,0.1031764345
DEC1976,1.0769,-0.0522,0.1895398642
JAN1977,0.9586,-0.3583,0.104203979
FEB1977,0.9079,-0.2093,0.1414530006
MAR1977,0.8943,-0.1748,0.1512331122
APR1977,0.8326,-0.2695,0.1254543803
MAY1977,0.7845,-0.2637,0.1269275911
JUN1977,0.8222,-0.2889,0.1205567779
JUL1977,0.8663,-0.1924,0.1462083033
